Date,IndividualLong,IndividualShort,EntityLong,EntityShort,Total,AllShorts,AllLong,AllIndividual,AllEntity,RatioIndividualPos,RatioEntityPos,RatioEntityShort,RatioEntityLong,RatioIndividualShort,RatioIndividualLong,Open,High,Low,Close,Adj Close,Volume
2012-12-21,542270,117267,788670,1213673,2661880,1330940,1330940,659537,2002343,0.24777112416788136,0.7522288758321186,0.45594579770688387,0.2962830781252348,0.04405420229311614,0.2037169218747652,1.243333,1.279167,1.242917,1.279167,1.213984,890400
2012-12-24,603543,146836,856774,1313481,2920634,1460317,1460317,750379,2170255,0.2569233255519178,0.7430766744480821,0.4497246145871068,0.2933520598609754,0.050275385412893225,0.2066479401390246,1.25625,1.268333,1.25625,1.264583,1.200143,112800
2012-12-26,593790,154867,898517,1337440,2984614,1492307,1492307,748657,2235957,0.25083880193552666,0.7491611980644733,0.44811154809298626,0.3010496499714871,0.05188845190701377,0.1989503500285129,1.270833,1.274583,1.254583,1.254583,1.193051,148800
2012-12-27,614774,142760,894062,1366076,3017672,1508836,1508836,757534,2260138,0.25103258405817463,0.7489674159418254,0.4526920089393413,0.29627540700248406,0.04730799106065868,0.20372459299751597,1.258333,1.258333,1.2125,1.244583,1.183542,494400
2012-12-28,563563,78442,834387,1319508,2795900,1397950,1397950,642005,2153895,0.22962373475446188,0.7703762652455381,0.4719439178797525,0.2984323473657856,0.028056082120247506,0.2015676526342144,1.235,1.24875,1.219583,1.219583,1.159767,384000
2013-01-08,562005,89287,840758,1313476,2805526,1402763,1402763,651292,2154234,0.2321461287473365,0.7678538712526635,0.4681745954234607,0.2996792758292028,0.031825404576539304,0.20032072417079722,1.334167,1.342917,1.309167,1.311667,1.247335,343200
2013-01-09,543661,118760,882360,1307261,2852042,1426021,1426021,662421,2189621,0.2322620073617429,0.767737992638257,0.45835965950010554,0.30937833313815155,0.041640340499894464,0.19062166686184845,1.31625,1.335833,1.31625,1.335,1.269524,336000
2013-01-10,634162,165779,906134,1374517,3080592,1540296,1540296,799941,2280651,0.2596711930693841,0.740328806930616,0.4461859928221589,0.29414281410845705,0.05381400717784114,0.20585718589154292,1.3625,1.374167,1.344583,1.371667,1.304392,914400
2013-01-11,587328,178594,910605,1319339,2995866,1497933,1497933,765922,2229944,0.2556596323066519,0.7443403676933481,0.44038651929024863,0.30395384840309947,0.05961348070975137,0.19604615159690053,1.375,1.388333,1.37,1.381667,1.313902,516000
2013-01-15,586056,154891,781885,1213050,2735882,1367941,1367941,740947,1994935,0.27082564233398954,0.7291743576660105,0.44338535068398416,0.28578900698202625,0.05661464931601582,0.21421099301797372,1.354167,1.364583,1.35,1.364167,1.29726,247200
2013-01-16,581956,174260,825901,1233597,2815714,1407857,1407857,756216,2059498,0.26856989026584377,0.7314301097341562,0.4381116121878856,0.2933184975462707,0.06188838781211444,0.20668150245372932,1.367083,1.397083,1.366667,1.3925,1.324204,549600
