Date,IndividualLong,IndividualShort,EntityLong,EntityShort,Total,AllShorts,AllLong,AllIndividual,AllEntity,RatioIndividualPos,RatioEntityPos,RatioEntityShort,RatioEntityLong,RatioIndividualShort,RatioIndividualLong,Open,High,Low,Close,Adj Close,Volume
2012-10-01,-0.7952392246216918,-0.674199216994009,-0.7605668286422277,-0.8181841251044123,-0.7790793966264078,-0.7790793966264078,-0.7790793966264078,-0.7434503507327563,-0.7961318977196031,-0.5718267079562525,-0.42817329204374743,-0.42807532853220487,-0.32956645526920886,-0.5719246714677951,-0.6704335447307911,-0.9946542351184124,-0.9945564347176714,-0.994013471856475,-0.995159439250453,-0.995413429039528,-0.9266211604095563
2012-10-02,-0.7773381416839956,-0.6957343337501737,-0.7593523762703779,-0.8009595356164818,-0.769569853272651,-0.769569853272651,-0.769569853272651,-0.7407401760706025,-0.7870983258755272,-0.5772947444014089,-0.4227052555985911,-0.3930467338537087,-0.3464887196690172,-0.6069532661462914,-0.6535112803309829,-0.9945119977242016,-0.9946508907761774,-0.9941700702559336,-0.9948383203385787,-0.9951091509615679,-0.9385665529010239
2012-10-03,-0.7706804253823316,-0.7924298523077427,-0.797700410144855,-0.8080965773919664,-0.8051702476293517,-0.8051702476293517,-0.8051702476293517,-0.7791204020322317,-0.8109024481878394,-0.6001937602787042,-0.39980623972129575,-0.2905430144856385,-0.3867377487574496,-0.7094569855143616,-0.6132622512425505,-0.9949979944527415,-0.994792589033762,-0.9941580153302231,-0.9953140330306053,-0.9955599111338163,-0.9806598407281001
2012-10-04,-0.7243898152187264,-0.7513163164390392,-0.8031790476847437,-0.8042420461634435,-0.7892734781398594,-0.7892734781398594,-0.7892734781398594,-0.7291197486282146,-0.8119291250483146,-0.5394525620645632,-0.4605474379354369,-0.335226119408642,-0.4374090905601856,-0.6647738805913579,-0.5625909094398143,-0.9950453879524926,-0.9952412907362298,-0.9946398365456145,-0.995064273876925,-0.9953232314075394,-0.9516496018202503
2012-10-05,-0.7282798358440943,-0.6982108558304523,-0.7797716926697112,-0.797885320955412,-0.7674628281569116,-0.7674628281569116,-0.7674628281569116,-0.7082013820220967,-0.7964249396727561,-0.5315833269999526,-0.46841667300004725,-0.3883448672634567,-0.4111794048155635,-0.6116551327365433,-0.5888205951844365,-0.9944764383756489,-0.9942612205678195,-0.993652113172105,-0.9947907376518146,-0.9950640663948046,-0.8299203640500569
2012-10-08,-0.7601623347747092,-0.6466534258555444,-0.7446706186566117,-0.792278778138448,-0.7468115319934614,-0.7468115319934614,-0.7468115319934614,-0.7071646476482537,-0.7750874683879062,-0.5512707631838334,-0.4487292368161665,-0.43662115222604414,-0.35127084598897496,-0.5633788477739557,-0.648729154011025,-0.9950691131498469,-0.9952531083709123,-0.99447121212914,-0.9953021587668417,-0.9955486542413562,-0.8993174061433447
2012-10-09,-0.7686814164164376,-0.7091238996640757,-0.7522152825714912,-0.7845395815050171,-0.7583643997036444,-0.7583643997036444,-0.7583643997036444,-0.7407510661375546,-0.775317163838005,-0.5881423283198925,-0.41185767168010734,-0.3681571711212941,-0.34915604629875574,-0.6318428288787061,-0.6508439537012444,-0.9959580968636653,-0.9961505401154992,-0.9959045919409091,-0.9968839477108803,-0.9970474453508508,-0.7821387940841866
2012-10-10,-0.7570272364971603,-0.7389271673654872,-0.7395193974761737,-0.755265022151263,-0.740164602762065,-0.740164602762065,-0.740164602762065,-0.7459964483861646,-0.7543280983199528,-0.6122324102761723,-0.3877675897238276,-0.31997035963981907,-0.35016881347816176,-0.6800296403601811,-0.6498311865218382,-0.9969655927743404,-0.9970715787898,-0.996518901704338,-0.9976451279795874,-0.9977686844252172,-0.8401592718998863
2012-10-11,-0.7411706908015941,-0.6716197108272237,-0.7414508625283636,-0.7712176321938737,-0.7347745385124991,-0.7347745385124991,-0.7347745385124991,-0.7052305717575552,-0.7631221894817509,-0.5602823909983914,-0.43971760900160844,-0.3973901013433092,-0.36634261482097247,-0.6026098986566908,-0.6336573851790274,-0.9974634236540786,-0.997201459412702,-0.9965309566300485,-0.9975143112708657,-0.9976447446143109,-0.8862343572241184
2012-10-12,-0.6836557723501484,-0.7675354927298139,-0.7787738986009994,-0.7520977616122313,-0.7458045699904743,-0.7458045699904743,-0.7458045699904743,-0.7083923211959907,-0.7735936754439341,-0.5540049855674316,-0.4459950144325682,-0.28845203388585433,-0.450260914729955,-0.7115479661141456,-0.549739085270045,-0.9976175236469668,-0.9976501611151698,-0.9969766130683083,-0.9980851893364201,-0.9981856454216238,-0.9311717861205916
